,tmpf,relh,sknt,alti,vsby,skyl1
32616,75.2,73.61,4.0,29.97,6.21,3000.0
8521,77.0,73.78,4.0,30.03,6.21,2000.0
30482,75.2,53.55,11.0,30.21,6.21,4000.0
16995,87.8,48.84,5.0,30.12,6.21,3000.0
33616,84.2,54.8,3.0,29.97,6.21,3000.0
26813,71.6,88.43,2.0,29.97,4.97,3000.0
3392,75.2,53.55,0.0,30.12,6.21,3000.0
14425,77.0,50.43,8.0,30.15,6.21,3500.0
40163,75.2,57.12,7.0,29.97,6.21,3000.0
35938,60.8,87.92,4.0,30.12,6.21,3000.0
29657,82.4,37.07,4.0,30.12,6.21,4000.0
12421,64.4,93.88,2.0,30.03,6.21,3000.0
1182,73.4,83.21,0.0,30.06,6.21,1000.0
34462,75.2,69.14,7.0,29.91,6.21,3000.0
691,69.8,100.0,3.0,30.15,6.21,3000.0
11862,66.2,88.18,5.0,30.15,3.73,800.0
11698,71.6,78.04,5.0,30.24,6.21,2000.0
22787,57.2,76.82,5.0,30.47,6.21,2000.0
9200,69.8,94.01,0.0,29.97,6.21,4000.0
27519,71.6,78.04,7.0,30.06,6.21,1700.0
29779,59.0,82.25,3.0,30.21,6.21,3000.0
23905,64.4,77.45,3.0,30.09,6.21,2000.0
24511,68.0,77.75,8.0,30.06,6.21,1700.0
1378,80.6,57.84,2.0,30.0,6.21,2000.0
29217,80.6,32.18,3.0,30.09,6.21,3000.0
10234,66.2,93.92,0.0,29.88,2.49,1500.0
29267,59.0,72.01,8.0,30.06,6.21,4000.0
34384,86.0,40.14,11.0,29.77,6.21,3500.0
1590,73.4,83.21,2.0,30.06,6.21,2000.0
24399,69.8,68.55,2.0,29.88,4.97,2000.0
13013,68.0,77.75,3.0,30.12,6.21,2000.0
12523,62.6,88.0,2.0,30.06,4.97,2000.0
3618,59.0,76.98,11.0,30.12,6.21,1500.0
27539,69.8,82.98,3.0,30.09,6.21,700.0
33510,71.6,78.04,3.0,30.0,6.21,4000.0
24357,71.6,73.27,3.0,30.06,6.21,2500.0
17347,68.0,93.97,2.0,29.94,6.21,1300.0
21455,64.4,88.09,2.0,30.3,6.21,3000.0
17913,77.0,65.12,5.0,30.03,6.21,3000.0
38035,64.4,77.45,8.0,30.06,6.21,3000.0
32584,82.4,58.08,5.0,29.88,4.35,3000.0
6358,84.2,30.62,4.0,30.03,6.21,3000.0
8150,69.8,88.34,4.0,29.8,6.21,2500.0
4620,73.4,56.88,3.0,30.21,6.21,3000.0
20343,82.4,54.55,5.0,30.09,6.21,3000.0
33264,69.8,94.01,5.0,29.94,6.21,1300.0
27807,84.2,48.32,3.0,30.0,6.21,4000.0
5698,82.4,28.36,3.0,30.06,6.21,3000.0
23657,78.8,61.36,7.0,29.94,3.73,3000.0
13501,64.4,82.62,10.0,30.21,6.21,2500.0
34902,69.8,88.34,2.0,30.06,5.59,900.0
3936,57.2,93.69,2.0,30.24,6.21,1500.0
10720,82.4,58.08,4.0,30.06,6.21,4000.0
18215,73.4,73.44,2.0,30.09,6.21,1500.0
11126,77.0,61.13,3.0,30.27,6.21,3600.0
33188,73.4,78.19,3.0,29.94,6.21,3000.0
25213,66.2,63.82,6.0,30.09,6.21,2700.0
16589,80.6,61.58,3.0,30.0,6.21,3000.0
23665,71.6,78.04,5.0,30.03,6.21,2500.0
19951,59.0,93.74,0.0,29.97,2.49,1000.0
1092,78.8,65.33,6.0,30.24,6.21,3000.0
27721,68.0,72.92,5.0,30.03,6.21,3500.0
964,71.6,73.27,6.0,30.06,6.21,2000.0
38372,66.2,72.74,14.0,30.15,6.21,4000.0
19291,71.6,73.27,9.0,30.09,6.21,2500.0
13103,59.0,93.74,0.0,30.06,2.49,800.0
7550,82.4,45.07,2.0,29.91,6.21,2500.0
32436,66.2,68.15,11.0,29.97,6.21,4000.0
30294,64.4,72.56,6.0,30.18,6.21,3000.0
20503,64.4,93.88,0.0,29.97,3.73,1000.0
27415,62.6,88.0,2.0,30.06,6.21,2000.0
14153,57.2,93.69,4.0,30.24,6.21,4000.0
2558,71.6,64.48,8.0,30.15,6.21,2000.0
20543,69.8,88.34,3.0,30.15,6.21,3000.0
32220,77.0,61.13,3.0,29.91,6.21,2500.0
24463,66.2,82.74,4.0,30.06,4.35,1700.0
23145,55.4,87.65,0.0,30.12,6.21,1200.0
40066,71.6,78.04,3.0,29.85,6.21,1500.0
7588,71.6,73.27,5.0,30.0,6.21,3000.0
26847,86.0,48.58,10.0,30.0,6.21,3000.0
20033,84.2,51.47,4.0,29.94,6.21,4000.0
12336,59.0,87.83,0.0,30.3,6.21,2000.0
11080,78.8,57.6,6.0,30.12,6.21,4000.0
28659,62.6,88.0,0.0,30.12,4.97,1900.0
20751,78.8,50.69,3.0,30.06,6.21,3000.0
40624,71.6,64.48,5.0,29.88,4.35,1200.0
13783,62.6,93.83,3.0,30.09,1.86,600.0
3158,69.8,73.09,3.0,29.97,6.21,3000.0
33658,84.2,51.47,7.0,29.91,6.21,3000.0
16001,69.8,82.98,6.0,30.0,6.21,1700.0
19163,69.8,100.0,0.0,30.03,6.21,1700.0
9057,73.4,88.51,0.0,30.03,6.21,3000.0
15803,66.2,93.92,0.0,29.83,4.35,900.0
19659,71.6,100.0,1.0,30.06,6.21,500.0
12204,73.4,43.69,3.0,30.21,6.21,3000.0
38810,60.8,67.54,15.0,30.12,6.21,3000.0
3114,59.0,87.83,5.0,30.18,6.21,2300.0
23199,68.0,82.86,4.0,30.0,3.73,2000.0
19401,68.0,88.26,2.0,30.09,4.97,2000.0
5234,55.4,93.65,3.0,30.06,3.73,3000.0
37341,62.6,59.26,3.0,30.15,6.21,3000.0
30872,64.4,77.45,5.0,30.06,6.21,3700.0
29777,60.8,77.14,1.0,30.21,6.21,3000.0
20839,59.0,87.83,2.0,30.09,4.97,2500.0
2588,66.2,82.74,9.0,30.09,6.21,3000.0
32502,71.6,73.27,3.0,30.09,3.11,1500.0
16047,68.0,77.75,5.0,30.09,6.21,1700.0
33116,69.8,82.98,4.0,30.0,3.73,1300.0
4968,60.8,87.92,4.0,30.39,6.21,3000.0
39163,62.6,93.83,3.0,30.06,4.35,900.0
35822,62.6,82.5,4.0,30.06,6.21,3000.0
24471,78.8,65.33,4.0,29.94,2.49,3000.0
23429,64.4,77.45,2.0,30.03,4.97,3000.0
24207,93.2,20.13,6.0,29.97,6.21,3000.0
13901,73.4,60.67,4.0,30.15,6.21,3000.0
38710,89.6,35.81,6.0,29.91,4.97,3000.0
40086,82.4,54.55,2.0,29.83,6.21,3000.0
34558,69.8,82.98,3.0,30.0,4.97,1500.0
22519,53.6,100.0,1.0,30.3,3.11,1900.0
8280,77.0,61.13,2.0,30.03,6.21,3000.0
29487,68.0,77.75,7.0,30.21,2.8,1700.0
20205,68.0,82.86,4.0,30.03,6.21,4000.0
7226,57.2,82.12,7.0,30.18,6.21,2500.0
38983,75.2,64.91,4.0,29.94,4.97,3000.0
28773,62.6,82.5,0.0,30.27,6.21,3000.0
34858,87.8,45.88,8.0,29.97,6.21,4000.0
8617,73.4,83.21,4.0,29.88,6.21,1200.0
18657,77.0,73.78,1.0,30.0,6.21,3000.0
23449,69.8,60.21,1.0,30.0,6.21,3000.0
22605,71.6,56.63,3.0,30.3,6.21,3000.0
8214,80.6,50.95,3.0,30.06,6.21,3000.0
38303,59.0,93.74,0.0,30.27,4.97,1000.0
35570,73.4,53.29,4.0,30.06,6.21,3000.0
37766,46.4,93.4,0.0,30.3,0.06,100.0
39012,66.2,88.18,16.0,29.88,1.55,1500.0
6830,68.0,72.92,15.0,30.15,6.21,3000.0
14865,62.6,93.83,3.0,29.97,6.21,4000.0
16087,64.4,93.88,0.0,30.12,6.21,1200.0
38158,68.0,37.32,2.0,30.09,6.21,3000.0
26445,71.6,83.09,14.0,30.0,6.21,2500.0
20285,68.0,88.26,1.0,30.0,6.21,4000.0
33910,75.2,73.61,7.0,30.06,6.21,3000.0
16427,82.4,54.55,5.0,30.06,6.21,4000.0
19857,68.0,93.97,1.0,30.09,2.49,2000.0
16353,68.0,88.26,9.0,30.06,2.49,900.0
35536,78.8,44.52,3.0,30.06,6.21,3500.0
31760,96.8,19.28,3.0,29.85,6.21,3000.0
30424,80.6,28.08,2.0,30.09,6.21,3000.0
11400,64.4,93.88,0.0,30.15,1.86,3000.0
8000,84.2,51.47,6.0,29.85,6.21,4000.0
35710,55.4,93.65,1.0,30.06,4.35,700.0
11522,59.0,87.83,0.0,30.09,3.73,3000.0
36408,57.2,87.74,3.0,30.12,6.21,3000.0
38019,57.2,87.74,6.0,30.21,6.21,3000.0
7676,64.4,88.09,1.0,29.97,6.21,1700.0
28421,71.6,56.63,9.0,30.0,6.21,3500.0
22609,62.6,77.29,0.0,30.3,6.21,3000.0
13659,64.4,72.56,0.0,30.12,6.21,3000.0
38734,68.0,77.75,6.0,30.03,6.21,3000.0
38468,71.6,68.75,14.0,30.03,6.21,3500.0
327,69.8,100.0,1.0,29.94,4.35,1000.0
22351,59.0,93.74,2.0,30.27,4.35,500.0
390,73.4,100.0,3.0,29.91,6.21,2500.0
7182,73.4,73.44,7.0,29.88,6.21,2000.0
5012,59.0,76.98,0.0,30.24,6.21,3000.0
19379,64.4,88.09,0.0,29.97,2.49,1000.0
30434,53.6,93.6,0.0,30.15,6.21,3000.0
33304,71.6,83.09,0.0,29.97,6.21,4000.0
18963,78.8,73.95,4.0,30.0,6.21,3000.0
23961,68.0,72.92,3.0,30.12,5.59,3000.0
35769,75.2,53.55,4.0,29.97,6.21,3000.0
40300,62.6,82.5,4.0,29.94,6.21,3000.0
27667,71.6,64.48,10.0,30.06,6.21,3000.0
36099,60.8,77.14,2.0,30.09,6.21,3000.0
23763,60.8,93.79,10.0,30.12,4.97,1000.0
22313,78.8,41.69,3.0,30.21,6.21,3000.0
39579,66.2,82.74,9.0,29.97,6.21,3000.0
6052,87.8,29.18,5.0,30.12,6.21,3000.0
21121,59.0,87.83,3.0,30.21,6.21,3000.0
38423,77.0,47.25,3.0,30.06,6.21,3000.0
18249,64.4,93.88,2.0,30.03,6.21,2000.0
14329,59.0,87.83,6.0,30.33,1.55,900.0
30904,62.6,93.83,2.0,30.06,3.11,500.0
26757,77.0,38.74,4.0,29.91,6.21,3000.0
31418,75.2,25.4,3.0,30.12,6.21,3000.0
37566,53.6,87.56,1.0,30.39,2.49,700.0
12617,60.8,87.92,4.0,30.33,6.21,1500.0
30716,62.6,63.38,3.0,30.33,6.21,3000.0
26201,69.8,88.34,6.0,29.83,1.86,1500.0
7306,68.0,82.86,8.0,30.03,6.21,1300.0
881,69.8,94.01,3.0,29.88,3.11,600.0
37289,64.4,63.6,4.0,30.27,6.21,3000.0
21835,57.2,62.69,8.0,30.24,6.21,3000.0
26735,66.2,55.88,2.0,29.97,6.21,3000.0
11452,64.4,93.88,3.0,30.15,2.49,800.0
29984,73.4,46.71,6.0,29.85,6.21,3000.0
21561,50.0,93.5,2.0,30.0,3.11,3000.0
28457,77.0,41.42,3.0,30.03,6.21,4000.0
22337,80.6,30.07,3.0,30.21,6.21,3000.0
4744,71.6,56.63,5.0,30.15,6.21,2000.0
1372,66.2,93.92,1.0,29.97,3.11,1000.0
16203,68.0,88.26,2.0,30.03,6.21,3000.0
20509,80.6,65.54,4.0,30.09,6.21,4000.0
28073,77.0,53.8,11.0,30.03,6.21,4500.0
30698,57.2,87.74,6.0,30.33,6.21,3000.0
26555,73.4,73.44,4.0,30.12,4.97,1700.0
5666,64.4,63.6,2.0,30.18,6.21,3000.0
16439,68.0,88.26,5.0,30.0,6.21,2000.0
28531,80.6,44.8,8.0,29.97,6.21,4900.0
5608,59.0,82.25,7.0,30.21,6.21,3000.0
27291,71.6,88.43,3.0,29.94,3.73,3000.0
12326,60.8,82.37,2.0,30.3,6.21,2000.0
40575,64.4,77.45,10.0,29.97,6.21,3000.0
31582,62.6,82.5,3.0,30.24,6.21,1100.0
2678,71.6,64.48,9.0,30.09,6.21,3000.0
37084,59.0,87.83,2.0,30.18,6.21,1600.0
12461,62.6,82.5,4.0,30.24,5.59,1200.0
37956,59.0,82.25,6.0,30.21,6.21,3500.0
1856,64.4,93.88,6.0,30.12,5.59,1000.0
24273,68.0,82.86,5.0,30.18,4.97,2000.0
17001,77.0,73.78,3.0,30.06,6.21,4000.0
3326,64.4,93.88,5.0,30.09,6.21,2000.0
23619,66.2,82.74,5.0,29.91,6.21,1500.0
37116,59.0,44.47,6.0,30.24,6.21,3000.0
10526,77.0,78.48,4.0,29.97,6.21,1300.0
26631,82.4,48.05,4.0,29.83,6.21,3000.0
10792,82.4,58.08,2.0,30.0,6.21,3000.0
16817,60.8,72.2,5.0,30.18,6.21,3000.0
896,69.8,88.34,4.0,29.94,5.59,1500.0
20417,73.4,64.69,10.0,30.12,6.21,2500.0
11198,75.2,57.12,3.0,30.27,6.21,3000.0
28629,78.8,39.02,8.0,30.09,6.21,4000.0
21199,50.0,100.0,0.0,30.27,4.35,3000.0
37186,53.6,93.6,1.0,30.27,1.86,2000.0
5150,69.8,46.16,7.0,30.15,6.21,3000.0
39694,75.2,57.12,3.0,30.0,6.21,2500.0
38587,68.0,77.75,3.0,30.18,6.21,3000.0
6422,68.0,72.92,9.0,30.18,6.21,2500.0
30504,71.6,56.63,3.0,30.12,6.21,3000.0
28635,62.6,82.5,5.0,30.15,6.21,3000.0
11338,66.2,88.18,4.0,30.15,3.11,900.0
15997,66.2,93.92,3.0,29.94,6.21,2500.0
25091,75.2,64.91,4.0,30.09,6.21,2500.0
28563,64.4,82.62,2.0,30.24,4.35,1700.0
22529,53.6,87.56,2.0,30.42,4.35,1100.0
1088,73.4,78.19,6.0,30.15,6.21,3000.0
14637,59.0,87.83,3.0,30.24,2.49,800.0
36005,64.4,77.45,5.0,30.15,6.21,2000.0
13627,60.8,82.37,2.0,30.18,6.21,4000.0
22625,82.4,34.69,0.0,30.21,6.21,3000.0
39455,64.4,88.09,6.0,30.18,6.21,2300.0
25423,62.6,82.5,4.0,30.0,4.97,1300.0
33958,75.2,69.14,6.0,30.06,6.21,2500.0
11432,73.4,73.44,7.0,30.21,4.35,1700.0
18945,69.8,100.0,0.0,30.09,6.21,4000.0
38232,78.8,34.13,4.0,29.88,6.21,3000.0
22371,59.0,93.74,1.0,30.27,6.21,3000.0
10086,73.4,94.1,2.0,30.06,3.73,1500.0
580,77.0,100.0,3.0,30.0,4.97,3000.0
26207,69.8,88.34,2.0,29.91,6.21,800.0
12246,75.2,50.17,5.0,30.12,6.21,2500.0
28475,75.2,46.98,3.0,30.09,6.21,4000.0
25703,71.6,83.09,9.0,30.12,6.21,2500.0
24911,66.2,82.74,8.0,30.12,2.49,1300.0
3312,62.6,93.83,4.0,30.06,4.35,800.0
3804,60.8,63.15,3.0,30.18,6.21,2300.0
25757,68.0,82.86,3.0,29.91,6.21,3000.0
24651,69.8,82.98,3.0,30.06,6.21,4300.0
37714,50.0,66.27,4.0,30.39,6.21,3000.0
7216,62.6,72.38,14.0,30.12,6.21,3000.0
6018,64.4,63.6,3.0,30.06,6.21,3000.0
9031,71.6,88.43,3.0,30.09,6.21,2000.0
38796,55.4,76.66,4.0,30.21,6.21,4000.0
39530,77.0,57.36,11.0,30.03,6.21,3500.0
38311,66.2,77.6,9.0,30.21,6.21,1300.0
6412,66.2,77.6,6.0,30.21,6.21,2100.0
12376,62.6,88.0,6.0,30.03,5.59,1500.0
21717,71.6,56.63,2.0,30.0,6.21,3000.0
27617,77.0,61.13,8.0,29.97,6.21,3000.0
37002,68.0,56.13,3.0,30.06,6.21,3000.0
20589,66.2,82.74,5.0,30.12,6.21,3000.0
17677,69.8,94.01,3.0,30.06,4.97,3000.0
1176,77.0,73.78,9.0,30.06,6.21,2000.0
26283,71.6,94.06,1.0,29.91,4.97,2000.0
2730,71.6,73.27,2.0,30.0,6.21,3000.0
7832,77.0,73.78,3.0,30.0,6.21,2000.0
34214,71.6,68.75,12.0,29.88,6.21,2600.0
34964,75.2,73.61,6.0,29.94,6.21,3000.0
8336,71.6,73.27,14.0,30.09,6.21,1700.0
35856,64.4,67.95,11.0,30.18,6.21,3000.0
23737,60.8,63.15,5.0,30.3,6.21,3000.0
1036,77.0,65.12,5.0,29.94,6.21,3000.0
5740,69.8,64.26,8.0,30.27,6.21,2500.0
18721,82.4,65.74,5.0,29.94,6.21,3500.0
2890,71.6,64.48,6.0,30.15,6.21,2500.0
9138,71.6,88.43,3.0,30.06,3.73,700.0
19363,84.2,54.8,2.0,30.0,6.21,3000.0
19955,62.6,88.0,3.0,30.09,4.35,800.0
34092,84.2,54.8,5.0,30.0,6.21,3000.0
17213,69.8,100.0,5.0,30.0,1.86,1000.0
15285,69.8,68.55,14.0,30.12,6.21,2600.0
6768,69.8,77.9,0.0,29.91,4.97,2000.0
8763,78.8,69.52,11.0,29.94,6.21,4000.0
10948,66.2,88.18,0.0,30.03,6.21,3000.0
20047,68.0,93.97,2.0,30.06,6.21,2500.0
12613,62.6,82.5,4.0,30.3,6.21,1700.0
1246,75.2,73.61,8.0,30.09,6.21,2000.0
13883,60.8,87.92,9.0,30.21,6.21,2100.0
35676,66.2,72.74,4.0,30.09,6.21,1300.0
22143,69.8,49.37,4.0,30.27,6.21,3000.0
37849,66.2,59.74,8.0,30.45,6.21,2500.0
20357,66.2,93.92,1.0,30.09,2.49,1100.0
18809,69.8,100.0,2.0,30.03,6.21,400.0
29874,64.4,59.5,2.0,30.06,6.21,3000.0
32650,75.2,73.61,4.0,29.83,6.21,4000.0
35328,78.8,50.69,5.0,30.06,6.21,4000.0
24849,71.6,83.09,2.0,30.03,3.73,900.0
6922,75.2,60.9,7.0,30.0,6.21,4000.0
29832,71.6,49.64,3.0,30.12,6.21,3000.0
9630,71.6,73.91634902609485,3.0,30.03,6.21,4000.0
16489,66.2,93.92,2.0,29.94,6.21,2000.0
28059,64.4,88.09,2.0,30.06,6.21,3500.0
35373,75.2,57.12,3.0,30.15,6.21,3500.0
12741,55.4,93.65,1.0,30.18,1.86,800.0
35050,87.8,35.53,6.0,30.03,6.21,3500.0
39053,80.6,54.3,6.0,30.0,6.21,3000.0
22897,60.8,93.79,2.0,30.21,4.97,1000.0
10902,64.4,93.88,2.0,29.94,6.21,1600.0
7916,64.4,88.09,3.0,29.91,6.21,2000.0
32060,60.8,87.92,4.0,30.15,6.21,2300.0
8645,75.2,73.61,8.0,29.91,6.21,2000.0
5864,86.0,22.02,2.0,30.12,6.21,3000.0
7028,60.8,93.79,8.0,30.12,6.21,2000.0
30928,59.0,93.74,2.0,29.97,4.35,3000.0
23879,60.8,82.37,8.0,30.09,6.21,3000.0
9350,68.0,88.26,4.0,29.83,4.97,600.0
27265,73.4,83.21,4.0,30.03,6.21,3000.0
34510,78.8,61.36,3.0,30.06,6.21,3000.0
11532,84.2,39.86,7.0,30.12,6.21,3000.0
34302,78.8,61.36,4.0,30.03,6.21,2700.0
21185,71.6,56.63,4.0,30.24,5.59,3000.0
922,68.0,73.91634902609485,2.0,30.0,6.21,1500.0
24513,69.8,73.09,6.0,30.09,4.35,1900.0
17537,69.8,94.01,2.0,30.03,4.97,2000.0
23201,66.2,88.18,9.0,30.03,1.24,1300.0
15247,68.0,100.0,3.0,30.06,6.21,500.0
38762,80.6,54.3,4.0,29.97,4.97,4000.0
39093,60.8,77.14,7.0,30.09,6.21,2000.0
11886,69.8,82.98,1.0,30.09,3.73,3000.0
26969,80.6,65.54,5.0,29.94,6.21,3000.0
19081,82.4,61.81,2.0,29.91,6.21,3000.0
11458,78.8,61.36,2.0,30.18,6.21,2500.0
2280,73.4,83.21,0.0,29.97,6.21,2000.0
34516,80.6,57.84,13.0,29.94,6.21,3000.0
8843,66.2,93.92,1.0,30.09,3.73,600.0
3624,69.8,46.16,8.0,30.15,6.21,3000.0
12563,77.0,69.33,3.0,30.06,6.21,3000.0
38991,73.4,64.69,2.0,29.94,4.97,4000.0
17563,68.0,100.0,2.0,30.03,6.21,3000.0
34306,80.6,61.58,6.0,29.97,6.21,4000.0
21673,62.6,82.5,1.0,30.12,6.21,2000.0
10060,73.4,88.51,4.0,30.03,6.21,2000.0
14907,87.8,40.41,10.0,29.97,6.21,4000.0
34412,69.8,88.34,2.0,29.85,3.73,800.0
6908,71.6,64.48,5.0,30.03,6.21,3000.0
39466,75.2,69.14,19.0,30.15,4.97,2500.0
31818,77.0,61.13,19.0,30.03,6.21,3500.0
27471,78.8,73.95,7.0,29.83,6.21,2000.0
8797,66.2,93.92,2.0,30.03,4.35,1500.0
8605,69.8,88.34,4.0,29.88,3.73,1500.0
15287,66.2,72.74,16.0,30.09,6.21,2300.0
18817,71.6,94.06,7.0,30.0,6.21,3000.0
13823,59.0,93.74,2.0,30.03,3.11,1500.0
23857,60.8,82.37,6.0,30.15,6.21,3000.0
36877,68.0,52.51,4.0,30.18,6.21,3000.0
6546,73.4,38.18,11.0,30.09,6.21,3000.0
30420,73.4,49.9,4.0,30.21,6.21,3000.0
11836,64.4,77.45,4.0,30.18,6.21,2300.0
37327,48.2,93.45,2.0,30.18,4.35,3000.0
15623,71.6,78.04,7.0,29.97,6.21,2000.0
17669,75.2,78.34,5.0,30.0,6.21,3000.0
34332,68.0,93.97,6.0,30.03,1.24,500.0
10170,84.2,65.95,6.0,29.88,6.21,3000.0
20835,59.0,82.25,2.0,30.12,6.21,2500.0
5920,62.6,59.26,2.0,30.12,6.21,3000.0
5706,60.8,82.37,0.0,30.09,4.35,3000.0
29147,62.6,88.0,3.0,30.15,6.21,3000.0
15363,69.8,88.34,3.0,30.0,3.11,1500.0
17107,73.4,83.21,1.0,29.94,6.21,2000.0
368,75.2,88.59,2.0,29.97,6.21,2000.0
19099,80.6,69.71,2.0,30.03,6.21,3000.0
25141,84.2,48.32,5.0,30.03,6.21,4000.0
28831,66.2,77.6,0.0,30.21,5.59,3000.0
23707,64.4,77.45,5.0,30.27,6.21,2000.0
17475,77.0,78.48,5.0,30.0,6.21,2000.0
8190,73.4,64.69,12.0,30.03,6.21,3500.0
3048,62.6,93.83,2.0,30.03,2.49,500.0
15663,59.0,82.25,5.0,30.12,4.97,3000.0
16303,71.6,64.48,6.0,30.15,6.21,1900.0
7912,66.2,82.74,5.0,29.91,6.21,2000.0
23983,55.4,93.65,0.0,30.09,3.11,2500.0
13371,60.8,72.2,0.0,30.3,5.59,3000.0
17259,80.6,61.58,3.0,29.94,6.21,3000.0
13773,59.0,93.74,2.0,30.09,4.97,1200.0
37128,48.2,76.01,1.0,30.42,6.21,4000.0
15581,71.6,88.43,3.0,30.0,6.21,3000.0
972,71.6,78.04,9.0,30.03,6.21,2000.0
20515,77.0,78.48,11.0,30.03,6.21,3000.0
38186,78.8,31.9,4.0,30.03,6.21,3000.0
3718,68.0,93.97,4.0,30.06,2.49,500.0
26783,71.6,78.04,5.0,30.0,6.21,4000.0
30950,60.8,93.79,0.0,30.21,1.86,500.0
36525,68.0,68.35,4.0,30.0,6.21,3000.0
31246,68.0,72.92,8.0,30.15,6.21,3000.0
17557,71.6,83.09,3.0,30.12,6.21,3000.0
32024,66.2,88.18,3.0,30.12,2.49,1100.0
22365,64.4,82.62,13.0,30.24,6.21,3000.0
2680,69.8,68.55,13.0,30.12,6.21,4000.0
34928,66.2,93.92,2.0,30.0,1.55,300.0
6862,66.2,77.6,3.0,30.12,6.21,3000.0
30092,75.2,53.55,0.0,30.12,6.21,3000.0
12829,71.6,60.44,6.0,30.09,6.21,3000.0
22541,51.8,100.0,0.0,30.45,3.73,1700.0
3388,71.6,60.44,3.0,30.15,6.21,2000.0
2930,57.2,100.0,0.0,30.09,2.49,200.0
1576,71.6,94.06,0.0,30.06,3.11,800.0
4244,71.6,60.44,5.0,30.24,6.21,3000.0
19323,71.6,78.04,4.0,30.09,6.21,2000.0
14833,71.6,60.44,7.0,30.03,6.21,3000.0
34734,69.8,88.34,1.0,29.88,4.35,2500.0
2756,66.2,93.92,3.0,29.97,3.73,500.0
38425,86.0,25.26,3.0,30.0,6.21,3000.0
18109,71.6,83.09,0.0,30.03,6.21,3000.0
19815,82.4,61.81,0.0,30.03,5.59,2700.0
24125,64.4,82.62,5.0,30.09,4.35,1500.0
12354,60.8,82.37,6.0,30.18,6.21,1500.0
16539,69.8,68.55,4.0,30.18,6.21,2300.0
26579,73.4,73.44,4.0,30.03,6.21,1900.0
618,71.6,83.09,0.0,29.91,6.21,1500.0
2240,64.4,93.88,0.0,30.0,6.21,3000.0
1726,80.6,69.71,10.0,30.03,6.21,3000.0
21679,57.2,93.69,2.0,30.09,4.35,1300.0
18167,86.0,48.58,4.0,30.06,6.21,3000.0
26435,73.4,78.19,2.0,30.09,6.21,1700.0
15395,69.8,94.01,2.0,29.91,4.97,2000.0
4518,57.2,87.74,0.0,30.3,6.21,3000.0
23469,86.0,30.9,3.0,29.97,6.21,3000.0
26885,69.8,94.01,3.0,30.0,3.11,500.0
6088,66.2,55.88,0.0,30.12,6.21,3000.0
3242,66.2,77.6,5.0,30.15,6.21,1700.0
20157,80.6,65.54,2.0,29.97,6.21,4000.0
32126,78.8,54.05,5.0,30.0,6.21,4000.0
17,91.4,31.72,11.0,29.94,6.21,4000.0
